Ref_Date,GEO,Geographical classification,INDEX,Vector,Coordinate,Value
1989/10,Canada,,Total (house and land),v53600422,1.1,71.0
1989/11,Canada,,Total (house and land),v53600422,1.1,71.4
1989/12,Canada,,Total (house and land),v53600422,1.1,71.9
1990/01,Canada,,Total (house and land),v53600422,1.1,72.5
1990/02,Canada,,Total (house and land),v53600422,1.1,72.6
1990/03,Canada,,Total (house and land),v53600422,1.1,72.8
1990/04,Canada,,Total (house and land),v53600422,1.1,72.6
1990/05,Canada,,Total (house and land),v53600422,1.1,72.3
1990/06,Canada,,Total (house and land),v53600422,1.1,71.4
1990/07,Canada,,Total (house and land),v53600422,1.1,71.0
1990/08,Canada,,Total (house and land),v53600422,1.1,70.3
1990/09,Canada,,Total (house and land),v53600422,1.1,69.4
1990/10,Canada,,Total (house and land),v53600422,1.1,68.8
1990/11,Canada,,Total (house and land),v53600422,1.1,68.2
1990/12,Canada,,Total (house and land),v53600422,1.1,67.9
1991/01,Canada,,Total (house and land),v53600422,1.1,66.9
1991/02,Canada,,Total (house and land),v53600422,1.1,65.5
1991/03,Canada,,Total (house and land),v53600422,1.1,65.8
1991/04,Canada,,Total (house and land),v53600422,1.1,65.6
1991/05,Canada,,Total (house and land),v53600422,1.1,66.0
1991/06,Canada,,Total (house and land),v53600422,1.1,66.0
1991/07,Canada,,Total (house and land),v53600422,1.1,66.1
1991/08,Canada,,Total (house and land),v53600422,1.1,66.0
1991/09,Canada,,Total (house and land),v53600422,1.1,66.0
1991/10,Canada,,Total (house and land),v53600422,1.1,66.0
1991/11,Canada,,Total (house and land),v53600422,1.1,65.7
1991/12,Canada,,Total (house and land),v53600422,1.1,65.7
1992/01,Canada,,Total (house and land),v53600422,1.1,65.6
1992/02,Canada,,Total (house and land),v53600422,1.1,65.5
1992/03,Canada,,Total (house and land),v53600422,1.1,65.7
1992/04,Canada,,Total (house and land),v53600422,1.1,65.9
1992/05,Canada,,Total (house and land),v53600422,1.1,65.9
1992/06,Canada,,Total (house and land),v53600422,1.1,66.0
1992/07,Canada,,Total (house and land),v53600422,1.1,66.1
1992/08,Canada,,Total (house and land),v53600422,1.1,66.1
1992/09,Canada,,Total (house and land),v53600422,1.1,66.0
1992/10,Canada,,Total (house and land),v53600422,1.1,66.1
1992/11,Canada,,Total (house and land),v53600422,1.1,66.2
1992/12,Canada,,Total (house and land),v53600422,1.1,66.1
1993/01,Canada,,Total (house and land),v53600422,1.1,66.0
1993/02,Canada,,Total (house and land),v53600422,1.1,66.3
1993/03,Canada,,Total (house and land),v53600422,1.1,66.7
1993/04,Canada,,Total (house and land),v53600422,1.1,67.0
1993/05,Canada,,Total (house and land),v53600422,1.1,66.8
1993/06,Canada,,Total (house and land),v53600422,1.1,66.9
1993/07,Canada,,Total (house and land),v53600422,1.1,67.0
1993/08,Canada,,Total (house and land),v53600422,1.1,67.1
1993/09,Canada,,Total (house and land),v53600422,1.1,67.1
